run_id	prequant_bpb	postquant_bpb	steps
screen_parres5	1.11242661	1.12087499	2465
screen_rope32	1.10966218	1.11796885	2479
screen_softcap20	1.10911253	1.11782257	2481
screen_softcap50	1.11247159	1.12366454	2485
screen_mlp35	1.11221644	1.12117819	2574
screen_gradclip05	1.10984184	1.11824564	2485
screen_embedlr03	1.11053583	1.11901047	2486
screen_scalarLR03	1.11002628	1.11839226	2483
screen_tiedLR05	1.11161729	1.12080952	2486
screen_beta2_099	1.11070991	1.11913980	2488
